dataset,u,v,betweenness_bucket,jaco_norm,orc,waf3,eff_resistance,commute_time,lrc,hybrid
Cornell,0,101,Low Betweenness (Intra-cluster),1.0447379350662231,0,0.022222222222222143,0.5789982679141528,324.23903003192555,-6.8573373162786755,1.3956180222189354
Cornell,0,122,Low Betweenness (Intra-cluster),1.1284459431966145,0,0.18888888888888883,0.5789982679141532,324.2390300319258,-5.8360396790067695,1.400277618485751
Cornell,1,27,Medium Betweenness,0.7359172900517782,0,-0.8105263157894738,0.6019600906525473,337.09765076542647,-3.7856271911788566,1.349374567836664
Cornell,1,57,High Betweenness (Inter-cluster),0.10456831753253937,0,-33.88554150527835,0.48272344241106124,270.32512775019427,-110.64024063898023,0.5439139110748085
Cornell,1,120,Low Betweenness (Intra-cluster),0.9142224391301472,0,-0.16052631578947374,0.6033978349890596,337.90278759387337,-2.4567948314214103,1.3661092489551119
Cornell,2,75,Low Betweenness (Intra-cluster),0.9601815342903137,0,-0.24444444444444446,0.6564513071823022,367.61273202208923,-3.981183345525241,1.3107096296984109
Cornell,2,130,Low Betweenness (Intra-cluster),1.1736536423365276,0,0.18888888888888883,0.6564513071823023,367.6127320220893,-3.031212246813936,1.322824579992133
Cornell,3,57,High Betweenness (Inter-cluster),0.055438755700985595,0,-34.08831928305613,0.2869793113212288,160.70841433988812,47.50356697867683,0.7339888647492387
Cornell,3,66,High Betweenness (Inter-cluster),0.28560806314150494,0,-2.2077485380116957,0.333458129851703,186.73655271695367,-16.182634675808373,1.578813577249012
Cornell,3,83,Medium Betweenness,0.28949268658955896,0,-1.2077485380116961,0.40190793301734096,225.06844248971095,-12.902244720667753,1.538321352368769
Cornell,3,97,High Betweenness (Inter-cluster),0.3867655197779338,0,-1.096637426900585,0.4602453822540937,257.7374140622925,-6.400063249166394,1.483090301226602
Cornell,3,146,High Betweenness (Inter-cluster),0.32979203263918555,0,-1.1744152046783625,0.36318007041084266,203.3808394300719,-12.92527622120421,1.5779811338413519
Cornell,4,24,Low Betweenness (Intra-cluster),0.644023338953654,0,-1.4903242955874534,0.6214601022791759,348.0176572763385,-7.13524072465954,1.3108690516319006
Cornell,4,176,Medium Betweenness,0.5558313926060995,0,-1.6723950026581602,0.6214601022791795,348.0176572763405,-12.056293170889669,1.3057787957101175
Cornell,5,10,High Betweenness (Inter-cluster),0.4821181893348694,0,-1.8431020733652312,0.5912125183597539,331.07901028146216,-8.070876918176904,1.3312538231507525
Cornell,5,53,Low Betweenness (Intra-cluster),0.3767573237419128,0,-1.4053827751196173,0.4872686021029205,272.8704171776355,-8.218265900004715,1.447435309616258
Cornell,5,57,High Betweenness (Inter-cluster),0.19410222272078198,0,-32.80372332346017,0.2836506609510723,158.8443701326005,256.37881671044437,0.7732317063123111
Cornell,5,135,Low Betweenness (Intra-cluster),0.3828710615634918,0,-1.4053827751196173,0.5052354341790009,282.93184314024046,-8.38725124106867,1.4294684777198459
Cornell,5,154,Low Betweenness (Intra-cluster),0.8953160842259726,0,0.3446172248803827,0.36485007343900716,204.316041125844,-6.117945685047496,1.6187795978575545
Cornell,5,162,Low Betweenness (Intra-cluster),0.9670674204826355,0,-0.009768740031897982,0.5912125183597516,331.0790102814609,-5.0682645386113965,1.3825093820857322
Cornell,5,176,Low Betweenness (Intra-cluster),0.16519789894421896,0,-3.0568979266347687,0.406648953363538,227.7234138835813,-25.535135992792327,1.481882594541902
Cornell,6,109,Medium Betweenness,0.7854366699854534,0,0.16407685881370093,0.3808917351523562,213.29937168531947,-7.376892352083349,1.5976904650102188
Cornell,6,149,Low Betweenness (Intra-cluster),0.5615366895993551,0,-0.7857142857142857,0.5795134501230272,324.52753206889525,-7.31689320989057,1.3725148923979804
Cornell,6,101,Low Betweenness (Intra-cluster),0.7854366699854534,0,-0.15873015873015872,0.3901039243562243,218.4581976394856,-8.206372935110117,1.579453373655376
Cornell,6,122,Low Betweenness (Intra-cluster),0.8483685056368511,0,0.00793650793650802,0.4098946769744209,229.5410191056757,-7.262241900561578,1.5643222175019031
Cornell,7,12,Medium Betweenness,2.5842056274414062,0,0.8228070175438595,0.9999999999999986,559.9999999999992,-0.7144080500638201,0.996998705884412
Cornell,7,57,High Betweenness (Inter-cluster),0.15600672860940298,0,-33.76887483861168,1.0000000000000004,560.0000000000002,-48.61729420764542,0.02989907604540897
Cornell,8,28,Low Betweenness (Intra-cluster),0.2661348879337311,0,-2.0952380952380953,0.435642080665136,243.95956517247615,-14.572288114745085,1.4797751468921732
Cornell,8,101,Low Betweenness (Intra-cluster),0.6462394992510477,0,-0.9460317460317459,0.32355964726161746,181.19340246650577,-10.100275074064823,1.6239866048622464
Cornell,8,109,Medium Betweenness,0.6462394992510477,0,-0.6232247284878863,0.30020242014473597,168.11335528105215,-9.947934170381767,1.6563687339886521
